Name,Location,Price,Area,Rooms,Interior
Room Paterswoldseweg,9727 BG Groningen (Grunobuurt),€685 per month,15 m²,1 room,Upholstered
Room Herman Colleniusstraat 13 8,9718 KP Groningen (Schildersbuurt),€645 per month,19 m²,1 room,
Room Damsterdiep,9713 EK Groningen (Gorechtbuurt),€616 per month,13 m²,1 room,Upholstered
Flat Oosterhamrikkade,9713 KA Groningen (Gorechtbuurt),€926 per month,40 m²,2 rooms,
Room Helper Brink,9722 EG Groningen (Helpman),€585 per month,15 m²,1 room,
Room Jennerstraat,9728 GX Groningen (Corpus den Hoorn),€595 per month,12 m²,1 room,
Room Tweede Hunzestraat,9715 BP Groningen (Indische buurt),€670 per month,14 m²,1 room,
Room Rabenhauptstraat 78 a 1,9725 CG Groningen (Rivierenbuurt),€353 per month,16 m²,1 room,
Flat Entensgang 2,9711 NJ Groningen (Binnenstad-Zuid),"€1,035 per month",48 m²,3 rooms,
Flat Winschoterweg,9723 CG Groningen (Roodehaan),€733 per month,35 m²,2 rooms,Upholstered
Flat Damsterdiep,9711 SK Groningen (Binnenstad-Oost),"€1,800 per month",75 m²,3 rooms,Upholstered
Room Korreweg,9714 AE Groningen (Professorenbuurt),€550 per month,8 m²,1 room,Upholstered
Flat Visserstraat,9712 CS Groningen (Binnenstad-Noord),"€2,300 per month",130 m²,2 rooms,Upholstered
House Riouwstraat 3,9715 BS Groningen (Indische buurt),€690 per month,300 m²,13 rooms,
Room Nieuwe Ebbingestraat,9712 ND Groningen (Hortusbuurt-Ebbingekwartier),€800 per month,26 m²,1 room,Upholstered
Room Rembrandt van Rijnstraat,9718 PN Groningen (Kostverloren),€500 per month,9 m²,1 room,
Room Briljantstraat,9743 NA Groningen (Vinkhuizen-Noord),€550 per month,14 m²,1 room,
Flat Jullensstraat 79,9721 BK Groningen (Helpman),"€1,295 per month",51 m²,2 rooms,
Room Hoendiep 51 1,9718 TC Groningen (Kostverloren),€599 per month,16 m²,2 rooms,
Room Hoendiep 51 2,9718 TC Groningen (Kostverloren),€599 per month,17 m²,1 room,
Flat Vismarkt,9712 CA Groningen (Binnenstad-Noord),"€1,386 per month",40 m²,1 room,Upholstered or furnished
Flat Slachthuisstraat,9713 MS Groningen (Bloemenbuurt),"€2,095 per month",106 m²,4 rooms,Furnished
Flat Bankastraat 32 A,9715 CC Groningen (Indische buurt),"€2,195 per month",80 m²,5 rooms,
House Noorderkerkstraat,9712 RB Groningen (Hortusbuurt-Ebbingekwartier),"€2,175 per month",113 m²,6 rooms,Furnished
Flat Van Schendelstraat,9721 GW Groningen (Helpman),"€1,050 per month",50 m²,2 rooms,
Flat Nieuwe Markt,9712 KN Groningen (Binnenstad-Noord),"€1,391 per month",35 m²,2 rooms,Furnished
Flat Herman Colleniusstraat,9718 KS Groningen (Schildersbuurt),"€2,280 per month",70 m²,2 rooms,Furnished
Flat Westersingel,9718 CC Groningen (Binnenstad-West),"€2,385 per month",105 m²,4 rooms,Furnished
House Scheltemaheerd,9736 AV Groningen (Beijum-Oost),"€1,750 per month",112 m²,4 rooms,Furnished
House Boterdiep,9712 LN Groningen (Hortusbuurt-Ebbingekwartier),Price on request,131 m²,5 rooms,Upholstered or furnished
Flat Van Brakelplein,9726 HH Groningen (Zeeheldenbuurt),"€1,350 per month",80 m²,3 rooms,Furnished
Flat Eendrachtskade,9718 AB Groningen (Schildersbuurt),"€1,850 per month",90 m²,2 rooms,Furnished
Studio Hoogeweg,9746 TN Groningen (Reitdiep),"€1,200 per month",21 m²,1 room,Furnished
