Name,Location,Price,Area,Rooms,Interior
Flat Wilhelminastraat,1054 WD Amsterdam (Overtoomse Sluis),"€2,400 per month",52 m²,2 rooms,Furnished
Flat Linnaeusparkweg,1098 EP Amsterdam (Middenmeer),"€3,150 per month",122 m²,4 rooms,Upholstered
Flat Sumatrastraat,1094 NG Amsterdam (Indische Buurt-West),"€2,625 per month",51 m²,3 rooms,Upholstered
Flat Surinameplein,1058 GT Amsterdam (Westindische Buurt),"€2,930 per month",75 m²,2 rooms,Furnished
Flat Maasstraat 99 2,1078 HG Amsterdam (Scheldebuurt),"€3,000 per month",85 m²,3 rooms,Furnished
Flat Karel Klinkenbergstraat 1 M,1061 AH Amsterdam (Overtoomse Veld),"€2,650 per month",76 m²,3 rooms,Furnished
Flat Prinsengracht,1016 GX Amsterdam (Grachtengordel-West),"€2,700 per month",85 m²,2 rooms,Furnished
Flat Marnixstraat,1016 XX Amsterdam (Jordaan),"€2,575 per month",63 m²,3 rooms,Upholstered
Flat Elzenhagensingel 947,1022 LA Amsterdam (Elzenhagen),"€1,875 per month",85 m²,3 rooms,
Flat Sarphatistraat,1018 GS Amsterdam (Weesperbuurt/Plantage),"€2,990 per month",87 m²,3 rooms,Furnished
Flat Sarphatipark,1073 EC Amsterdam (Nieuwe Pijp),"€2,750 per month",73 m²,3 rooms,Upholstered
Flat Statenjachtstraat,1034 ET Amsterdam (Banne Buiksloot),"€1,950 per month",58 m²,3 rooms,Furnished
Flat Eerste Helmersstraat,1054 DW Amsterdam (Helmersbuurt),"€4,225 per month",140 m²,4 rooms,Upholstered
Flat Deurloostraat,1078 JD Amsterdam (Scheldebuurt),"€2,800 per month",81 m²,4 rooms,Upholstered
Flat Rijnlandlaan 271,1062 MX Amsterdam (Westlandgracht),"€3,325 per month",91 m²,4 rooms,Upholstered
Flat Bottelarijstraat,1019 VC Amsterdam (Oostelijk Havengebied),"€4,000 per month",132 m²,3 rooms,Furnished
Flat Sportstraat,1076 TP Amsterdam (Stadionbuurt),"€2,375 per month",50 m²,2 rooms,Furnished
Flat Valeriusstraat,1075 ET Amsterdam (Willemspark),"€4,250 per month",120 m²,4 rooms,Upholstered
Flat Amstelkade 186,1078 BB Amsterdam (Scheldebuurt),"€2,995 per month",100 m²,3 rooms,Furnished
Flat IJburglaan,1087 BS Amsterdam (IJburg-West),"€2,300 per month",49 m²,1 room,Furnished
Flat President Allendelaan,1068 VM Amsterdam (Osdorp-Oost),"€3,200 per month",95 m²,4 rooms,Upholstered
Flat H. Diesveldsingel,1060 RL Amsterdam (De Aker),"€2,250 per month",80 m²,3 rooms,Upholstered
Flat Bestevâerstraat,1056 HN Amsterdam (Geuzenbuurt),"€3,900 per month",135 m²,5 rooms,Furnished
Flat Van Baerlestraat,1071 BD Amsterdam (Museumkwartier),"€2,800 per month",71 m²,3 rooms,Upholstered
Flat Reguliersgracht,1017 LS Amsterdam (Grachtengordel-Zuid),"€4,500 per month",130 m²,4 rooms,
Flat Osdorpplein 936,1068 TD Amsterdam (Osdorp-Oost),"€1,550 per month",47 m²,2 rooms,
Flat Churchill-laan,1078 EX Amsterdam (Scheldebuurt),"€2,650 per month",87 m²,4 rooms,
Flat Banstraat 55 2,1071 JX Amsterdam (Museumkwartier),"€2,600 per month",75 m²,2 rooms,Furnished
Studio Gustav Mahlerlaan,1082 MK Amsterdam (Zuidas),"€1,750 per month",40 m²,1 room,
Flat Tweede Helmersstraat 81 1,1054 CE Amsterdam (Helmersbuurt),"€2,750 per month",65 m²,3 rooms,Furnished
Flat Pieter Cornelisz. Hooftstraat,1071 BS Amsterdam (Museumkwartier),"€2,800 per month",75 m²,3 rooms,
Flat Warmondstraat,1058 KV Amsterdam (Hoofddorppleinbuurt),"€2,850 per month",90 m²,3 rooms,Furnished
Flat Carolina MacGillavrylaan 304,1098 XB Amsterdam (Middenmeer),"€1,495 per month",74 m²,3 rooms,
Flat Zeeburgerdijk,1094 AG Amsterdam (Indische Buurt-West),"€2,900 per month",104 m²,4 rooms,Furnished
Flat Van Tuyll van Serooskerkenweg 29 H,1076 JB Amsterdam (Stadionbuurt),"€3,500 per month",86 m²,3 rooms,Furnished
Flat Singel,1012 VH Amsterdam (Burgwallen-Nieuwe Zijde),"€3,400 per month",130 m²,4 rooms,Upholstered
Flat Maasstraat 99 2,1078 HG Amsterdam (Scheldebuurt),"€3,000 per month",85 m²,3 rooms,Furnished
Flat Marnixstraat,1016 XX Amsterdam (Jordaan),"€2,575 per month",63 m²,3 rooms,Upholstered
Flat Keizersgracht 61 B,1015 CE Amsterdam (Grachtengordel-West),"€3,500 per month",85 m²,2 rooms,Furnished
Flat Bijlmerdreef,1102 AC Amsterdam (Amsterdamse Poort e.o.),"€8,000 per month",144 m²,7 rooms,Furnished
Flat Dapperstraat,1093 BW Amsterdam (Dapperbuurt),"€2,150 per month",57 m²,2 rooms,Upholstered
Flat Lauriergracht 37 G,1016 RG Amsterdam (Jordaan),"€6,500 per month",186 m²,3 rooms,
Flat Biesboschstraat 28 H,1078 MT Amsterdam (Scheldebuurt),"€3,500 per month",88 m²,3 rooms,Upholstered
Flat Keizersgracht 138 F,1015 CW Amsterdam (Grachtengordel-West),"€3,650 per month",115 m²,4 rooms,
Flat Admiralengracht,1057 GE Amsterdam (Chassébuurt),"€2,500 per month",91 m²,3 rooms,Upholstered or furnished
Flat Oudeschans 68 D,1011 LD Amsterdam (Nieuwmarkt/Lastage),"€1,950 per month",73 m²,2 rooms,
Flat Willem Baerdesenstraat,1067 XX Amsterdam (Geuzenveld),"€4,000 per month",85 m²,5 rooms,Furnished
Flat Aalbersestraat 110,1067 GH Amsterdam (Geuzenveld),"€1,650 per month",63 m²,4 rooms,Upholstered
Flat Sint Willibrordusstraat 107 A,1073 VB Amsterdam (Nieuwe Pijp),"€3,400 per month",100 m²,4 rooms,Upholstered or furnished
Flat Rubensstraat,1077 MK Amsterdam (Apollobuurt),"€5,500 per month",132 m²,4 rooms,Upholstered
Flat Nieuwe Spiegelstraat 48,1017 DG Amsterdam (Grachtengordel-Zuid),"€2,750 per month",70 m²,3 rooms,Furnished
Flat Jacob van Lennepstraat,1053 HC Amsterdam (Van Lennepbuurt),"€3,000 per month",112 m²,3 rooms,Upholstered
Flat Mr. P.N. Arntzeniusweg 51,1098 GL Amsterdam (Middenmeer),"€2,550 per month",94 m²,4 rooms,
Flat Pascalstraat 4 1,1098 PB Amsterdam (Middenmeer),"€2,650 per month",95 m²,4 rooms,Upholstered
Flat Eef Kamerbeekstraat,1095 MP Amsterdam (Zeeburgereiland/Bovendiep),"€2,450 per month",85 m²,3 rooms,Furnished
Flat Rozenstraat,1016 NN Amsterdam (Jordaan),"€3,750 per month",73 m²,3 rooms,Furnished
Flat Runstraat 15 B,1016 GJ Amsterdam (Grachtengordel-West),"€2,975 per month",85 m²,2 rooms,Furnished
Flat Hoofdweg,1057 DK Amsterdam (Hoofdweg e.o.),"€1,950 per month",54 m²,2 rooms,Furnished
Flat Kruysweerstraat,1096 GN Amsterdam (Omval/Overamstel),"€3,250 per month",96 m²,3 rooms,Furnished
Flat Nieuwe Herengracht,1011 SK Amsterdam (Nieuwmarkt/Lastage),"€2,950 per month",80 m²,4 rooms,Upholstered
Flat Elzenhagensingel 300,1022 LA Amsterdam (Elzenhagen),"€2,629 per month",83 m²,4 rooms,Upholstered
Flat Elzenhagensingel 152,1022 LA Amsterdam (Elzenhagen),"€1,973 per month",68 m²,2 rooms,Upholstered
Flat Elzenhagensingel 176,1022 LA Amsterdam (Elzenhagen),"€1,678 per month",50 m²,2 rooms,Upholstered
Flat De Wittenkade,1051 AM Amsterdam (Staatsliedenbuurt),"€2,500 per month",71 m²,3 rooms,
Flat Pieter Aertszstraat 115 2,1074 VP Amsterdam (Nieuwe Pijp),"€2,100 per month",43 m²,3 rooms,Upholstered
Flat Bloemstraat,1016 LB Amsterdam (Jordaan),"€2,800 per month",68 m²,3 rooms,Furnished
Flat Ruysdaelstraat,1071 XE Amsterdam (Museumkwartier),"€3,500 per month",130 m²,4 rooms,Upholstered
Flat Keizersgracht,1015 CD Amsterdam (Grachtengordel-West),"€2,950 per month",77 m²,2 rooms,Furnished
Flat Marnixstraat,1016 XX Amsterdam (Jordaan),"€2,575 per month",63 m²,3 rooms,Upholstered
Flat Maasstraat 99 2,1078 HG Amsterdam (Scheldebuurt),"€3,000 per month",85 m²,3 rooms,Furnished
Flat Nieuwe Herengracht 129 H,1011 SE Amsterdam (Nieuwmarkt/Lastage),"€2,950 per month",79 m²,3 rooms,
Flat Willem Parelstraat 408,1018 KZ Amsterdam (Oostelijke Eilanden/Kadijken),"€1,975 per month",61 m²,2 rooms,Upholstered
Flat Vechtstraat 7 D,1078 RE Amsterdam (IJselbuurt),"€2,695 per month",78 m²,3 rooms,Upholstered
Flat ms. van Riemsdijkweg 56,1033 RD Amsterdam (Noordelijke IJ-oevers-West),"€1,900 per month",50 m²,2 rooms,Upholstered
Flat Oostenburgermiddenstraat 72,1018 LC Amsterdam (Oostelijke Eilanden/Kadijken),"€2,250 per month",75 m²,3 rooms,Upholstered
Flat Nieuwezijds Voorburgwal,1012 RK Amsterdam (Burgwallen-Nieuwe Zijde),"€3,625 per month",94 m²,3 rooms,Furnished
Flat Van Oldenbarneveldtstraat,1052 KG Amsterdam (Frederik Hendrikbuurt),"€3,999 per month",110 m²,4 rooms,Upholstered
Flat Keizersgracht,1017 EE Amsterdam (Grachtengordel-Zuid),"€3,500 per month",70 m²,2 rooms,Upholstered or furnished
Flat Wijnand Nuijenstraat,1061 WB Amsterdam (Overtoomse Veld),"€2,525 per month",77 m²,3 rooms,Furnished
Flat Sausalitolaan,1031 KE Amsterdam (Noordelijke IJ-oevers-West),"€2,500 per month",67 m²,2 rooms,Upholstered
Flat Arent Janszoon Ernststraat 863 D,1082 LN Amsterdam (Buitenveldert-West),"€2,980 per month",76 m²,3 rooms,Upholstered
Flat Binnen Brouwersstraat,1013 EE Amsterdam (Haarlemmerbuurt),"€2,800 per month",82 m²,3 rooms,Upholstered
Flat Cruquiusweg,1019 AG Amsterdam (Oostelijk Havengebied),"€3,000 per month",75 m²,2 rooms,Furnished
Flat Amstelkade 25 B,1078 AD Amsterdam (IJselbuurt),"€2,595 per month",64 m²,3 rooms,Upholstered
Flat Bundlaan 236,1031 KA Amsterdam (Noordelijke IJ-oevers-West),"€2,800 per month",80 m²,3 rooms,Upholstered or furnished
Flat Nieuwezijds Voorburgwal,1012 RD Amsterdam (Burgwallen-Nieuwe Zijde),"€2,350 per month",80 m²,2 rooms,Furnished
Flat Groetstraat 201,1024 VE Amsterdam (Waterlandpleinbuurt),"€2,750 per month",80 m²,4 rooms,Upholstered or furnished
Flat Govert Flinckstraat,1072 EP Amsterdam (Oude Pijp),"€3,000 per month",108 m²,3 rooms,Upholstered
Flat Carolina MacGillavrylaan,1098 XB Amsterdam (Middenmeer),"€2,425 per month",66 m²,2 rooms,Upholstered
Flat Lijnbaansgracht 265 3,1017 RL Amsterdam (De Weteringschans),"€2,500 per month",105 m²,3 rooms,Upholstered or furnished
Flat Ton de Leeuwstraat 18,1011 DE Amsterdam (Nieuwmarkt/Lastage),"€7,500 per month",158 m²,4 rooms,Upholstered or furnished
Flat IJburglaan,1087 BS Amsterdam (IJburg-West),"€2,450 per month",63 m²,3 rooms,Furnished
Flat Rooseveltlaan,1078 NX Amsterdam (Scheldebuurt),"€4,100 per month",120 m²,4 rooms,Furnished
Flat Stadhouderskade,1072 AA Amsterdam (Oude Pijp),"€7,500 per month",140 m²,3 rooms,Furnished
Flat Minervaplein,1077 TP Amsterdam (Apollobuurt),"€2,950 per month",110 m²,3 rooms,Upholstered
Flat Lijnbaansgracht,1016 VX Amsterdam (Jordaan),"€4,000 per month",150 m²,3 rooms,Furnished
Flat Churchill-laan,1078 GA Amsterdam (Scheldebuurt),"€2,900 per month",85 m²,4 rooms,Upholstered
Flat Ruysdaelstraat,1071 WX Amsterdam (Museumkwartier),"€2,600 per month",70 m²,4 rooms,Upholstered
Flat Purperhoedenveem 80,1019 HM Amsterdam (Oostelijk Havengebied),"€3,285 per month",153 m²,4 rooms,Upholstered
Flat Pieter van der Werfstraat,1067 EM Amsterdam (Geuzenveld),"€2,490 per month",86 m²,3 rooms,Furnished
Flat Karel Klinkenbergstraat 1 M,1061 AH Amsterdam (Overtoomse Veld),"€2,650 per month",76 m²,3 rooms,Furnished
Flat Marnixstraat,1016 XX Amsterdam (Jordaan),"€2,575 per month",63 m²,3 rooms,Upholstered
House Wallestein,1081 BC Amsterdam (Buitenveldert-West),"€6,500 per month",250 m²,7 rooms,Furnished
Flat Tweede Hugo de Grootstraat 28 G,1052 LD Amsterdam (Frederik Hendrikbuurt),"€2,750 per month",60 m²,3 rooms,Furnished
Flat Karel Klinkenbergstraat 1 M,1061 AH Amsterdam (Overtoomse Veld),"€2,650 per month",76 m²,3 rooms,Furnished
Flat John Blankensteinstraat 139 D,1095 MB Amsterdam (Zeeburgereiland/Bovendiep),"€1,600 per month",36 m²,1 room,Upholstered
Flat Berenstraat,1016 GH Amsterdam (Grachtengordel-West),"€2,500 per month",60 m²,3 rooms,
Flat Frans van Mierisstraat 69 2,1071 RL Amsterdam (Museumkwartier),"€5,850 per month",169 m²,6 rooms,Upholstered
Flat Blankenstraat,1018 RX Amsterdam (Oostelijke Eilanden/Kadijken),"€2,600 per month",59 m²,3 rooms,Shell
Flat Aalsmeerweg,1059 AE Amsterdam (Hoofddorppleinbuurt),"€2,495 per month",75 m²,3 rooms,Upholstered
Flat Krijn Taconiskade,1087 HW Amsterdam (IJburg-Zuid),"€3,450 per month",74 m²,3 rooms,Upholstered or furnished
Flat Surinameplein 24 H,1058 GP Amsterdam (Westindische Buurt),"€2,749 per month",68 m²,4 rooms,Upholstered
Flat Ottho Heldringstraat,1066 AZ Amsterdam (Slotervaart-Zuid),"€2,750 per month",104 m²,3 rooms,Furnished
House Fraunhoferstraat,1098 LS Amsterdam (Middenmeer),"€2,799 per month",107 m²,4 rooms,Furnished
Flat Amstelveenseweg 920 C,1081 JN Amsterdam (Buitenveldert-West),"€2,750 per month",76 m²,3 rooms,Upholstered or furnished
House Tegelarijpad,1107 SH Amsterdam (Reigersbos),"€2,500 per month",105 m²,5 rooms,
Flat Waalstraat 127 2,1079 DV Amsterdam (Rijnbuurt),"€2,500 per month",65 m²,3 rooms,Furnished
Flat Van Baerlestraat,1071 AM Amsterdam (Museumkwartier),"€5,950 per month",187 m²,4 rooms,Upholstered
Flat Borssenburgplein,1078 TZ Amsterdam (IJselbuurt),"€4,000 per month",160 m²,4 rooms,Furnished
Flat Marnixstraat,1015 VD Amsterdam (Jordaan),"€4,300 per month",133 m²,4 rooms,Furnished
Flat Slotermeerlaan 18 A,1064 HB Amsterdam (Slotermeer-Zuidoost),"€2,600 per month",132 m²,3 rooms,Furnished
Flat Okeghemstraat,1075 PJ Amsterdam (Willemspark),"€2,950 per month",65 m²,2 rooms,Upholstered
Flat Oudezijds Voorburgwal,1012 EH Amsterdam (Burgwallen-Oude Zijde),"€2,395 per month",85 m²,2 rooms,Furnished
Flat Narva-eiland,1014 ZJ Amsterdam (Houthavens),"€3,250 per month",125 m²,4 rooms,Upholstered
Flat Van Alphenstraat,1053 WE Amsterdam (Bellamybuurt),"€2,950 per month",60 m²,3 rooms,
Flat Schinkelkade,1075 VK Amsterdam (Schinkelbuurt),"€2,450 per month",50 m²,2 rooms,Furnished
Flat Korte Prinsengracht,1013 GR Amsterdam (Haarlemmerbuurt),"€2,500 per month",60 m²,2 rooms,
Flat Barajasweg,1043 CP Amsterdam (Sloterdijk Nieuw-West),"€2,300 per month",75 m²,2 rooms,Upholstered
Flat Gustav Mahlerlaan 529 D,1082 MK Amsterdam (Zuidas),"€7,000 per month",123 m²,3 rooms,
Flat Gustav Mahlerplein 249,1082 MS Amsterdam (Zuidas),"€6,950 per month",155 m²,4 rooms,
Flat Haparandaweg,1013 BD Amsterdam (Houthavens),"€4,450 per month",166 m²,5 rooms,Furnished
Flat Prinsengracht 485 C,1016 HP Amsterdam (Grachtengordel-West),"€4,200 per month",117 m²,4 rooms,Furnished
Flat Marnixstraat,1016 XX Amsterdam (Jordaan),"€2,575 per month",63 m²,3 rooms,Upholstered
Flat Karel Klinkenbergstraat 1 M,1061 AH Amsterdam (Overtoomse Veld),"€2,650 per month",76 m²,3 rooms,Furnished
Flat Ladogameerhof 258,1060 RG Amsterdam (De Aker),"€2,000 per month",92 m²,3 rooms,Furnished
Flat Lucellestraat 11 2,1055 HS Amsterdam (Landlust),"€2,250 per month",60 m²,3 rooms,Upholstered
Flat Langswater,1069 TR Amsterdam (De Punt),"€3,100 per month",70 m²,4 rooms,Upholstered
Flat Tweede Helmersstraat 81 3,1054 CE Amsterdam (Helmersbuurt),"€3,500 per month",110 m²,4 rooms,Upholstered
Flat Bijlmerplein 858 H 5,1102 ME Amsterdam (Amsterdamse Poort e.o.),"€2,100 per month",78 m²,3 rooms,Upholstered
Flat Beethovenstraat 73 C,1077 HP Amsterdam (Apollobuurt),"€3,250 per month",110 m²,4 rooms,
Flat Kwintsheulstraat,1062 ED Amsterdam (Westlandgracht),"€2,795 per month",95 m²,3 rooms,Furnished
Flat Ecuplein,1060 RN Amsterdam (De Aker),"€2,450 per month",90 m²,3 rooms,Upholstered
Flat Rooseveltlaan 45 3,1079 AC Amsterdam (Scheldebuurt),"€3,000 per month",110 m²,4 rooms,Upholstered
Flat Eerste Sweelinckstraat 9 3,1073 CK Amsterdam (Oude Pijp),"€3,750 per month",115 m²,3 rooms,Furnished
Flat Zoutsteeg 16,1012 LX Amsterdam (Burgwallen-Nieuwe Zijde),"€2,650 per month",90 m²,4 rooms,
Flat Nassaukade 307 2,1053 LP Amsterdam (Da Costabuurt),"€2,750 per month",78 m²,3 rooms,
Flat Middenweg,1097 VB Amsterdam (Betondorp),"€1,850 per month",48 m²,3 rooms,Furnished
House Kerstomaatplantsoen,1104 VE Amsterdam (K-buurt),"€2,200 per month",107 m²,4 rooms,Upholstered
Flat Watteaustraat 29 1,1077 ZK Amsterdam (Apollobuurt),"€3,250 per month",113 m²,3 rooms,Upholstered
Flat Rijnstraat,1079 HH Amsterdam (Rijnbuurt),"€2,495 per month",65 m²,3 rooms,
Flat Merwedeplein,1078 NG Amsterdam (Scheldebuurt),"€2,900 per month",84 m²,4 rooms,
Flat Derde Helmersstraat,1054 BH Amsterdam (Helmersbuurt),"€2,950 per month",45 m²,2 rooms,Furnished
Flat Derde Helmersstraat,1054 BH Amsterdam (Helmersbuurt),"€3,400 per month",60 m²,3 rooms,Furnished
Studio Dennenrodepad,1102 MV Amsterdam (Amsterdamse Poort e.o.),€679 per month,23 m²,1 room,Shell
Flat Cruquiusweg,1019 AG Amsterdam (Oostelijk Havengebied),"€2,725 per month",81 m²,3 rooms,Upholstered
Flat Leimuidenstraat 45 1,1059 EG Amsterdam (Hoofddorppleinbuurt),"€2,650 per month",51 m²,3 rooms,
Flat Cruquiusweg 101 D,1019 AG Amsterdam (Oostelijk Havengebied),"€2,950 per month",103 m²,4 rooms,Furnished
Flat Weteringschans 213 E,1017 XG Amsterdam (De Weteringschans),"€4,250 per month",130 m²,4 rooms,Upholstered
Flat Radarweg,1043 NV Amsterdam (Sloterdijk Nieuw-West),"€2,500 per month",70 m²,3 rooms,Upholstered
Flat Lia Doranastraat 17,1031 HK Amsterdam (Noordelijke IJ-oevers-West),"€2,025 per month",86 m²,3 rooms,
Flat Koningin Wilhelminaplein,1062 KS Amsterdam (Westlandgracht),"€1,886 per month",90 m²,3 rooms,
Flat Zocherstraat 1 1,1054 LP Amsterdam (Overtoomse Sluis),"€3,500 per month",93 m²,3 rooms,Upholstered
Flat Sportstraat 18 A 2,1076 TW Amsterdam (Stadionbuurt),"€2,300 per month",55 m²,2 rooms,Furnished
Flat Jan van Galenstraat 138 E,1056 CG Amsterdam (Landlust),"€1,890 per month",97 m²,3 rooms,
Flat Marnixstraat,1016 XX Amsterdam (Jordaan),"€2,575 per month",63 m²,3 rooms,Upholstered
Flat Maasstraat 99 2,1078 HG Amsterdam (Scheldebuurt),"€3,000 per month",85 m²,3 rooms,Furnished
Flat Prinsengracht,1016 HK Amsterdam (Grachtengordel-West),"€3,000 per month",86 m²,3 rooms,Upholstered
Flat C. van Eesterenlaan 372,1019 KE Amsterdam (Oostelijk Havengebied),"€2,800 per month",92 m²,3 rooms,Upholstered or furnished
Flat Spuistraat,1012 VP Amsterdam (Burgwallen-Nieuwe Zijde),"€2,550 per month",65 m²,3 rooms,Furnished
Flat Grasweg,1031 HX Amsterdam (Noordelijke IJ-oevers-West),"€2,695 per month",88 m²,3 rooms,Upholstered
Flat Postjesweg,1062 JN Amsterdam (Overtoomse Veld),"€1,185 per month",43 m²,2 rooms,Furnished
Flat Buikslotermeerplein,1025 XL Amsterdam (Buikslotermeer),"€1,125 per month",52 m²,2 rooms,
Flat Prins Hendrikkade,1012 TK Amsterdam (Burgwallen-Nieuwe Zijde),"€2,700 per month",79 m²,3 rooms,Furnished
Flat Hemonystraat,1074 BL Amsterdam (Oude Pijp),"€2,695 per month",75 m²,3 rooms,Furnished
Flat Mechelensingel,1066 PA Amsterdam (Sloten/Nieuw-Sloten),"€2,700 per month",108 m²,4 rooms,Furnished
Flat Bercylaan 517,1031 KP Amsterdam (Noordelijke IJ-oevers-West),"€2,470 per month",80 m²,3 rooms,
Flat Hoofdweg 230 2,1057 DG Amsterdam (Hoofdweg e.o.),"€2,100 per month",58 m²,3 rooms,Upholstered
Flat Nickeriestraat 46 1,1058 VZ Amsterdam (Westindische Buurt),"€2,450 per month",50 m²,3 rooms,Upholstered
Flat Leidsekade,1017 PM Amsterdam (De Weteringschans),"€2,975 per month",80 m²,2 rooms,Upholstered
Flat Nassaukade 37 H,1052 CL Amsterdam (Staatsliedenbuurt),"€2,550 per month",84 m²,2 rooms,Upholstered
Flat Eurokade 37 C,1060 RZ Amsterdam (De Aker),"€2,100 per month",57 m²,3 rooms,Furnished
Flat Eurokade 37 B,1060 RZ Amsterdam (De Aker),"€2,250 per month",67 m²,4 rooms,Furnished
Flat Haarlemmerweg,1014 BL Amsterdam (Sloterdijk-West),"€1,925 per month",64 m²,3 rooms,
Flat Piet Gijzenbrugstraat,1059 XE Amsterdam (Hoofddorppleinbuurt),"€3,000 per month",76 m²,3 rooms,Furnished
Flat Lutonhof,1043 EG Amsterdam (Sloterdijk Nieuw-West),"€2,350 per month",70 m²,3 rooms,Furnished
Flat Bijlmerdreef 258,1102 AB Amsterdam (Amsterdamse Poort e.o.),"€2,300 per month",90 m²,3 rooms,Upholstered
Flat Hugo de Grootkade,1052 LW Amsterdam (Frederik Hendrikbuurt),"€2,900 per month",72 m²,3 rooms,Upholstered or furnished
Flat Holendrechtstraat,1078 TT Amsterdam (IJselbuurt),Price on request,71 m²,4 rooms,Furnished
Flat Van Baerlestraat,1071 AM Amsterdam (Museumkwartier),"€3,250 per month",81 m²,3 rooms,Furnished
Flat Van Eeghenstraat,1071 GJ Amsterdam (Museumkwartier),"€3,350 per month",78 m²,3 rooms,Upholstered
Flat Mendelhof,1098 TN Amsterdam (Middenmeer),"€2,800 per month",95 m²,4 rooms,Furnished
Flat Dintelstraat,1078 VS Amsterdam (Scheldebuurt),"€2,990 per month",73 m²,3 rooms,Furnished
Flat Ter Hooge 1 3,1082 CJ Amsterdam (Buitenveldert-West),"€1,154 per month",79 m²,4 rooms,Furnished
Flat Boomstraat 13 A,1015 LA Amsterdam (Jordaan),"€3,500 per month",90 m²,3 rooms,Furnished
Flat Zaanstraat,1013 SC Amsterdam (Spaarndammerbuurt/Zeeheldenbuurt),"€1,995 per month",87 m²,3 rooms,
Flat Vinkenstraat,1013 JM Amsterdam (Haarlemmerbuurt),"€2,725 per month",57 m²,3 rooms,Upholstered
Flat Marnixstraat,1016 XX Amsterdam (Jordaan),"€2,575 per month",63 m²,3 rooms,Upholstered
Flat Karel Klinkenbergstraat 1 M,1061 AH Amsterdam (Overtoomse Veld),"€2,650 per month",76 m²,3 rooms,Furnished
Flat Vijzelgracht,1017 HN Amsterdam (De Weteringschans),"€4,250 per month",135 m²,5 rooms,Furnished
House Alhambralaan,1064 NW Amsterdam (Slotervaart-Noord),"€2,750 per month",110 m²,5 rooms,Upholstered
Flat Balistraat 113 1,1094 JH Amsterdam (Indische Buurt-West),"€2,100 per month",46 m²,2 rooms,Upholstered or furnished
Flat Looiersgracht,1016 VT Amsterdam (Jordaan),"€4,100 per month",125 m²,3 rooms,Furnished
Flat Staringplein,1054 VK Amsterdam (Overtoomse Sluis),"€2,500 per month",64 m²,3 rooms,Upholstered
Flat Rustenburgerstraat,1072 HH Amsterdam (Nieuwe Pijp),"€3,250 per month",65 m²,3 rooms,Furnished
Flat Bessemerstraat,1097 AM Amsterdam (Frankendael),"€2,250 per month",49 m²,2 rooms,Furnished
Flat Marnixstraat,1016 XV Amsterdam (Jordaan),"€2,800 per month",96 m²,2 rooms,Upholstered
Flat Westerdok,1013 BH Amsterdam (Haarlemmerbuurt),"€2,250 per month",58 m²,2 rooms,Furnished
Flat Brouwersgracht,1013 HB Amsterdam (Haarlemmerbuurt),"€2,400 per month",60 m²,2 rooms,Furnished
Flat Oostelijke Handelskade,1019 DN Amsterdam (Oostelijk Havengebied),"€3,150 per month",100 m²,3 rooms,Furnished
Flat Keizersgracht 590 D,1017 EN Amsterdam (Grachtengordel-Zuid),"€3,800 per month",103 m²,2 rooms,Furnished
Flat Raamstraat,1016 XL Amsterdam (Jordaan),"€2,950 per month",62 m²,3 rooms,
Flat Willem de Zwijgerlaan,1055 PV Amsterdam (Landlust),"€2,850 per month",138 m²,4 rooms,Furnished
House Krasseurstraat,1033 DJ Amsterdam (Tuindorp Oostzaan),"€2,500 per month",122 m²,5 rooms,Furnished
Flat Oosterpark 39 C,1092 AL Amsterdam (Oosterparkbuurt),"€3,000 per month",70 m²,3 rooms,Furnished
Flat Pieter Cornelisz. Hooftstraat,1071 CG Amsterdam (Museumkwartier),"€4,250 per month",75 m²,3 rooms,Furnished
Flat Bilderdijkstraat,1053 KL Amsterdam (Da Costabuurt),"€2,750 per month",72 m²,3 rooms,Upholstered
Flat Ferdinant Spitstraat 79,1069 KB Amsterdam (Osdorp-Midden),"€2,850 per month",135 m²,5 rooms,Upholstered
Flat John Blankensteinstraat,1095 MB Amsterdam (Zeeburgereiland/Bovendiep),"€3,000 per month",122 m²,4 rooms,Furnished
Flat Savelsbos,1025 BE Amsterdam (Buikslotermeer),"€2,145 per month",77 m²,4 rooms,Furnished
Flat Oostenburgervoorstraat,1018 MR Amsterdam (Oostelijke Eilanden/Kadijken),"€2,500 per month",65 m²,2 rooms,Upholstered
Flat Amerbos,1025 ZW Amsterdam (Buikslotermeer),"€2,000 per month",80 m²,3 rooms,Upholstered
Flat Grasweg 360,1031 HX Amsterdam (Noordelijke IJ-oevers-West),"€1,850 per month",38 m²,1 room,Furnished
Flat Jan Pieter Heijestraat,1053 GM Amsterdam (Van Lennepbuurt),"€2,450 per month",58 m²,3 rooms,Furnished
Flat Van der Palmkade 114,1051 RH Amsterdam (Staatsliedenbuurt),"€2,800 per month",102 m²,3 rooms,Upholstered or furnished
House Raamgracht,1011 KH Amsterdam (Nieuwmarkt/Lastage),"€9,910 per month",250 m²,5 rooms,Shell
Flat Van Spilbergenstraat 130 3,1057 RN Amsterdam (Hoofdweg e.o.),"€2,325 per month",50 m²,3 rooms,Upholstered
Flat Joos Banckersplantsoen,1056 LC Amsterdam (Landlust),"€3,100 per month",102 m²,4 rooms,Furnished
Flat Kanaalstraat,1054 XC Amsterdam (Overtoomse Sluis),"€3,500 per month",130 m²,3 rooms,Upholstered
