Name,Location,Price,Area,Rooms,Interior
Flat Jan Bernardusstraat,1091 TT Amsterdam (Weesperzijde),"€2,700 per month",48 m²,3 rooms,Furnished
Flat Amazonenstraat,1076 LM Amsterdam (Stadionbuurt),"€2,600 per month",51 m²,3 rooms,Upholstered
Flat Albert Molhof,1031 JK Amsterdam (Noordelijke IJ-oevers-West),"€2,500 per month",87 m²,3 rooms,Furnished
Flat Nassaukade,1053 LM Amsterdam (Da Costabuurt),"€2,850 per month",100 m²,3 rooms,Furnished
Flat Veembroederhof,1019 HC Amsterdam (Oostelijk Havengebied),"€2,400 per month",100 m²,2 rooms,Furnished
Flat Krooswijkhof,1083 JA Amsterdam (Buitenveldert-Oost),"€2,900 per month",101 m²,4 rooms,Furnished
Flat Wim van Estlaan,1061 MK Amsterdam (De Kolenkit),"€2,750 per month",82 m²,3 rooms,Furnished
Flat Ceintuurbaan,1072 EV Amsterdam (Oude Pijp),"€2,325 per month",30 m²,2 rooms,Upholstered
Flat Haarlemmerweg,1014 BL Amsterdam (Sloterdijk-West),"€2,075 per month",64 m²,3 rooms,
Flat Haarlemmerweg,1014 BL Amsterdam (Sloterdijk-West),"€1,960 per month",63 m²,3 rooms,
Flat Haarlemmerweg,1014 BL Amsterdam (Sloterdijk-West),"€2,250 per month",73 m²,4 rooms,
Flat Noorderdwarsstraat,1017 TX Amsterdam (De Weteringschans),"€3,300 per month",76 m²,3 rooms,Upholstered or furnished
Flat Biesboschstraat,1078 MN Amsterdam (Scheldebuurt),"€2,650 per month",76 m²,3 rooms,Upholstered
Flat Marnixstraat,1016 XX Amsterdam (Jordaan),"€2,575 per month",63 m²,3 rooms,Upholstered
Flat Maasstraat 99 2,1078 HG Amsterdam (Scheldebuurt),"€3,000 per month",85 m²,3 rooms,Furnished
Flat Jan Evertsenstraat,1061 XZ Amsterdam (Overtoomse Veld),"€2,300 per month",85 m²,4 rooms,Furnished
Flat Galastraat,1036 LA Amsterdam (Tuindorp Oostzaan),"€2,800 per month",82 m²,3 rooms,Furnished
House J.S. Ruppertstraat,1069 KJ Amsterdam (Osdorp-Midden),"€3,500 per month",140 m²,4 rooms,Furnished
Flat Ridderspoorweg,1032 LL Amsterdam (Noordelijke IJ-oevers-West),"€2,000 per month",45 m²,2 rooms,Furnished
Flat Admiraal De Ruijterweg 354 A H,1055 NA Amsterdam (Landlust),"€1,967 per month",141 m²,3 rooms,Upholstered
Flat Derde Helmersstraat 74 2,1054 BL Amsterdam (Helmersbuurt),"€2,500 per month",67 m²,2 rooms,Furnished
Flat Nieuwe Laan,1068 CA Amsterdam (Osdorp-Oost),"€2,294 per month",85 m²,3 rooms,Furnished
Flat Van Oldenbarneveldtstraat,1052 KC Amsterdam (Frederik Hendrikbuurt),"€2,750 per month",80 m²,3 rooms,Upholstered
Flat Ottho Heldringstraat,1066 XT Amsterdam (Slotervaart-Zuid),"€3,250 per month",163 m²,6 rooms,Upholstered
Flat Linnaeuskade 26 H,1098 BG Amsterdam (Middenmeer),"€3,000 per month",140 m²,5 rooms,
Flat Ceintuurbaan 73 4,1072 EW Amsterdam (Oude Pijp),"€2,650 per month",79 m²,3 rooms,Furnished
Flat Delflandplein 56,1062 HT Amsterdam (Westlandgracht),"€2,100 per month",88 m²,4 rooms,Upholstered
Flat Tolstraat,1073 SE Amsterdam (Zuid Pijp),"€3,000 per month",78 m²,3 rooms,Furnished
Flat Van Nijenrodeweg,1082 JL Amsterdam (Buitenveldert-West),"€2,550 per month",85 m²,3 rooms,Furnished
Flat Badhuiskade 223,1031 KV Amsterdam (Noordelijke IJ-oevers-West),"€2,350 per month",49 m²,2 rooms,Furnished
Flat Alexander Boersstraat,1071 KZ Amsterdam (Museumkwartier),"€2,750 per month",80 m²,2 rooms,Furnished
Flat Eerste Helmersstraat,1054 ER Amsterdam (Overtoomse Sluis),"€5,350 per month",117 m²,4 rooms,Furnished
Studio Kinkerstraat,1053 GA Amsterdam (Bellamybuurt),"€1,500 per month",40 m²,2 rooms,Furnished
Flat Willem Augustinstraat 275,1061 MJ Amsterdam (De Kolenkit),"€1,850 per month",126 m²,4 rooms,
Flat Admiraal De Ruijterweg,1055 MS Amsterdam (Landlust),"€2,195 per month",50 m²,3 rooms,Upholstered
Flat Sloterkade,1058 HN Amsterdam (Hoofddorppleinbuurt),"€3,150 per month",68 m²,3 rooms,Furnished
Flat Jan van Galenstraat 666,1061 AZ Amsterdam (De Kolenkit),"€1,831 per month",64 m²,3 rooms,Upholstered
Flat Quellijnstraat 70 B,1072 XW Amsterdam (Oude Pijp),"€2,149 per month",54 m²,2 rooms,Upholstered
Flat Haparandaweg 58,1013 BD Amsterdam (Houthavens),"€1,592 per month",44 m²,1 room,Upholstered
Flat Elizabeth Cady Stantonplein 122,1102 BL Amsterdam (Amsterdamse Poort e.o.),€783 per month,27 m²,1 room,Upholstered
Flat August Allebéplein 718,1062 AC Amsterdam (Overtoomse Veld),€862 per month,29 m²,1 room,Upholstered
Flat Pantograafstraat 64,1019 XX Amsterdam (Oostelijk Havengebied),"€2,112 per month",78 m²,3 rooms,Shell
Flat Uiterwaardenstraat,1079 DD Amsterdam (Scheldebuurt),"€3,150 per month",140 m²,6 rooms,
Flat Elisabeth Wolffstraat,1053 TV Amsterdam (Bellamybuurt),"€2,475 per month",52 m²,3 rooms,Upholstered
Flat Rustenburgerstraat,1073 GA Amsterdam (Nieuwe Pijp),"€2,850 per month",77 m²,2 rooms,Upholstered
Flat Marnixstraat,1016 XX Amsterdam (Jordaan),"€2,575 per month",63 m²,3 rooms,Upholstered
Flat Maasstraat 99 2,1078 HG Amsterdam (Scheldebuurt),"€3,000 per month",85 m²,3 rooms,Furnished
Flat Woestduinstraat,1058 SX Amsterdam (Hoofddorppleinbuurt),"€2,475 per month",50 m²,3 rooms,Upholstered
Flat Bijlmerplein 858 K 10,1102 ME Amsterdam (Amsterdamse Poort e.o.),"€1,600 per month",56 m²,2 rooms,Upholstered
Flat Eendrachtstraat 20 2,1078 XZ Amsterdam (Scheldebuurt),"€1,995 per month",68 m²,1 room,
Flat Elzenhagensingel 158,1022 LA Amsterdam (Elzenhagen),"€1,706 per month",53 m²,2 rooms,Upholstered
Flat Ombilinstraat 20,1094 NV Amsterdam (Indische Buurt-West),"€2,450 per month",89 m²,3 rooms,Furnished
Flat Valkenstein,1082 BN Amsterdam (Buitenveldert-West),€860 per month,75 m²,4 rooms,
Flat Bernard Loderstraat 157,1063 PG Amsterdam (Slotermeer-West),"€1,510 per month",75 m²,3 rooms,
Flat Reinier Claeszenstraat 27 2,1056 WD Amsterdam (Geuzenbuurt),"€3,000 per month",72 m²,3 rooms,Upholstered
